title	subtitle	id	networkName	networkId	color	textColor	latitude	longitude	type	location	bike_count	electric_bike_count	dock_count
Electric bike		49bf964f-1e35-40aa-94ca-c6c9002384c3	Lime Bike	611	14D200	FFFFFF	38.9095200	-77.0320470	electric-bike	Washington, DC	0	0	0
Electric bike		54e1ed35-2a44-4067-9a2d-948eb970ec9f	Lime Bike	611	14D200	FFFFFF	38.9139280	-77.0320990	electric-bike	Washington, DC	0	0	0
Electric bike		fb206e15-bc3f-48b9-a199-0e5550e67868	Lime Bike	611	14D200	FFFFFF	38.9139050	-77.0321090	electric-bike	Washington, DC	0	0	0
Electric bike		fdb8218a-19a1-4379-b7a6-bdd7bf6bb135	Lime Bike	611	14D200	FFFFFF	38.9140610	-77.0322060	electric-bike	Washington, DC	0	0	0
Electric bike		c58fe4af-4788-472b-8e92-19b7739473b5	Lime Bike	611	14D200	FFFFFF	38.9140750	-77.0325960	electric-bike	Washington, DC	0	0	0
Electric bike		3292f851-0c26-4032-82ae-037f35696ac4	Lime Bike	611	14D200	FFFFFF	38.9156520	-77.0332400	electric-bike	Washington, DC	0	0	0
Electric bike		4b155085-7feb-40a2-8539-6de8c24c7eaa	Lime Bike	611	14D200	FFFFFF	38.9135750	-77.0333150	electric-bike	Washington, DC	0	0	0
Electric bike		01294776-ddf3-4484-9d62-df2512ad9f9e	Lime Bike	611	14D200	FFFFFF	38.9097340	-77.0334610	electric-bike	Washington, DC	0	0	0
Electric bike		f1ab7b19-82dc-4c84-91a9-78b15639f092	Lime Bike	611	14D200	FFFFFF	38.9119570	-77.0338570	electric-bike	Washington, DC	0	0	0
Electric bike		a9a6d149-e9f6-4790-9fcd-e80fa726ce85	Lime Bike	611	14D200	FFFFFF	38.9097360	-77.0342310	electric-bike	Washington, DC	0	0	0
Electric bike		ddf1611c-7b85-40b1-a503-c5ed220bea06	Lime Bike	611	14D200	FFFFFF	38.9126140	-77.0343000	electric-bike	Washington, DC	0	0	0
Electric bike		2451ece8-e229-4736-b178-4ffb7261625c	Lime Bike	611	14D200	FFFFFF	38.9101070	-77.0345670	electric-bike	Washington, DC	0	0	0
Electric bike		f00a2965-4da9-47f2-9b94-e40d689e8918	Lime Bike	611	14D200	FFFFFF	38.9154710	-77.0347200	electric-bike	Washington, DC	0	0	0
Electric bike		607dece7-34e8-4260-87ee-d7f8e12f3703	Lime Bike	611	14D200	FFFFFF	38.9095790	-77.0347230	electric-bike	Washington, DC	0	0	0
Electric bike		9018d874-444d-46e3-81e9-796de0497d45	Lime Bike	611	14D200	FFFFFF	38.9096880	-77.0351640	electric-bike	Washington, DC	0	0	0
Electric bike		dcf8f804-fc11-4391-95f6-428cc7ceaac8	Lime Bike	611	14D200	FFFFFF	38.9111800	-77.0356440	electric-bike	Washington, DC	0	0	0
Electric bike		e0e5066e-097c-4e48-b3b2-9e7879bdc9cc	Lime Bike	611	14D200	FFFFFF	38.9126700	-77.0358840	electric-bike	Washington, DC	0	0	0
Electric bike		f5a0330b-a323-435b-96b7-08e0fbd276bf	Lime Bike	611	14D200	FFFFFF	38.9130790	-77.0364510	electric-bike	Washington, DC	0	0	0
Electric bike		8321f684-ed9c-4da5-98a7-cf312c279254	Lime Bike	611	14D200	FFFFFF	38.9101690	-77.0364670	electric-bike	Washington, DC	0	0	0
Electric bike		0f3b9589-48e3-430a-bd93-0cabcbe90b66	Lime Bike	611	14D200	FFFFFF	38.9111130	-77.0365050	electric-bike	Washington, DC	0	0	0
